age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
46,Federal-gov,548498,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,63,United-States,>50K
50,Private,1222227,Some-college,10,Never-married,Tech-support,Husband,White,Male,0,0,52,United-States,<=50K
20,Private,1481353,Bachelors,13,Married-civ-spouse,Priv-house-serv,Husband,White,Female,0,0,62,United-States,<=50K
25,Private,1312479,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Female,0,0,31,United-States,<=50K
31,State-gov,1365593,HS-grad,9,Never-married,Craft-repair,Wife,White,Female,0,0,21,United-States,<=50K
24,Private,180467,HS-grad,9,Separated,Transport-moving,Husband,White,Female,0,0,39,United-States,<=50K
43,Private,498093,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1468,49,United-States,<=50K
56,Private,444839,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,17,United-States,<=50K
55,Self-emp-inc,771637,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Own-child,White,Male,0,0,28,United-States,<=50K
44,Private,1455093,10th,6,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Male,0,0,30,United-States,<=50K
66,Private,1026011,Bachelors,13,Married-civ-spouse,Other-service,Unmarried,White,Male,62097,0,44,Cuba,>50K
50,Self-emp-not-inc,817526,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,0,0,42,China,<=50K
22,Private,1202150,Masters,14,Widowed,Farming-fishing,Husband,White,Female,0,0,30,United-States,<=50K
61,Private,273118,Some-college,10,Widowed,Other-service,Not-in-family,White,Male,0,0,42,United-States,<=50K
50,Private,988640,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,26,United-States,>50K
54,Private,755859,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,11622,3124,34,United-States,<=50K
50,Private,312720,Some-college,10,Divorced,Sales,Husband,White,Male,31130,0,24,United-States,<=50K
49,Local-gov,966828,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,38,United-States,<=50K
23,Private,1254605,Some-college,10,Separated,Transport-moving,Husband,White,Male,9761,0,30,United-States,<=50K
49,Private,1236492,Some-college,10,Divorced,Other-service,Not-in-family,Black,Male,0,0,48,United-States,<=50K
63,State-gov,1258553,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,0,0,39,United-States,>50K
35,Private,1212775,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,37,United-States,<=50K
52,Private,705420,Some-college,10,Divorced,Protective-serv,Husband,White,Female,0,0,61,United-States,<=50K
19,Local-gov,85069,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,44,United-States,<=50K
37,Private,1439138,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K
42,Self-emp-not-inc,682647,Some-college,10,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,32,United-States,<=50K
74,Self-emp-not-inc,947616,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Female,0,0,25,United-States,<=50K
30,Private,42688,Bachelors,13,Widowed,Machine-op-inspct,Husband,White,Male,0,0,39,United-States,<=50K
33,Private,1325854,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,43,United-States,<=50K
41,Private,1325081,Bachelors,13,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,17,China,<=50K
74,Private,1384272,Some-college,10,Never-married,Adm-clerical,Husband,White,Male,0,0,23,United-States,<=50K
66,Private,269338,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,33,United-States,<=50K
19,Private,1258301,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,26,United-States,<=50K
31,Self-emp-inc,935921,Some-college,10,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
64,Local-gov,228245,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,42,United-States,>50K
21,Self-emp-inc,855724,HS-grad,9,Never-married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,494,38,United-States,<=50K
66,Private,716573,Masters,14,Never-married,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,0,0,46,United-States,<=50K
34,Private,936889,Masters,14,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,32,United-States,<=50K
70,Private,135950,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,39,United-States,<=50K
34,Private,845079,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,27,United-States,<=50K
42,State-gov,1013671,11th,7,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
55,Private,1070007,1st-4th,2,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
25,Private,1149209,10th,6,Never-married,Tech-support,Not-in-family,White,Male,0,0,25,United-States,<=50K
49,Federal-gov,937747,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K
46,Private,1049001,HS-grad,9,Married-civ-spouse,Farming-fishing,Own-child,Black,Male,0,0,39,United-States,<=50K
62,Private,145759,Bachelors,13,Divorced,Craft-repair,Unmarried,White,Male,0,0,43,United-States,<=50K
74,Private,1191652,Assoc-voc,11,Married-civ-spouse,Other-service,Wife,Black,Male,0,0,43,United-States,>50K
55,Private,554410,10th,6,Married-spouse-absent,Transport-moving,Husband,White,Female,0,0,31,United-States,<=50K
41,Self-emp-inc,821701,HS-grad,9,Never-married,Priv-house-serv,Own-child,White,Male,0,0,49,United-States,<=50K
41,Private,820212,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,46,United-States,<=50K
41,Local-gov,1455005,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,31,United-States,<=50K
64,Federal-gov,492964,11th,7,Divorced,Handlers-cleaners,Wife,Black,Male,0,0,26,United-States,<=50K
36,Federal-gov,580339,Masters,14,Never-married,Transport-moving,Husband,White,Male,0,0,32,United-States,<=50K
27,Private,1136141,Some-college,10,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Female,0,0,22,United-States,<=50K
37,Private,949878,1st-4th,2,Never-married,Other-service,Own-child,White,Female,0,0,42,United-States,<=50K
19,Local-gov,482174,Some-college,10,Divorced,Prof-specialty,Husband,White,Male,0,0,54,United-States,<=50K
24,Private,521227,Bachelors,13,Married-spouse-absent,Sales,Husband,White,Male,0,0,57,United-States,<=50K
23,Private,1237175,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,26,United-States,<=50K
61,Self-emp-not-inc,1247784,Bachelors,13,Widowed,Craft-repair,Husband,White,Male,0,0,49,Japan,<=50K
59,Private,229174,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,41,United-States,<=50K
57,Self-emp-inc,603364,Assoc-acdm,12,Divorced,Craft-repair,Unmarried,White,Male,0,378,11,United-States,<=50K
44,State-gov,1149535,Bachelors,13,Divorced,Protective-serv,Husband,White,Male,0,0,36,United-States,<=50K
58,Self-emp-not-inc,187605,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,34,United-States,<=50K
27,Private,283468,Bachelors,13,Married-spouse-absent,Craft-repair,Other-relative,White,Male,0,0,54,United-States,<=50K
69,Local-gov,246576,Bachelors,13,Widowed,Protective-serv,Husband,White,Male,0,2677,29,United-States,<=50K
46,Private,792752,1st-4th,2,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,0,0,46,United-States,<=50K
71,Self-emp-not-inc,678847,Doctorate,16,Married-spouse-absent,Machine-op-inspct,Husband,White,Female,0,0,38,United-States,<=50K
26,Federal-gov,486056,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,1160,22,United-States,<=50K
46,Self-emp-not-inc,213295,7th-8th,4,Divorced,Other-service,Unmarried,White,Male,0,0,33,United-States,<=50K
57,Private,954338,9th,5,Separated,Transport-moving,Husband,Black,Male,0,0,58,United-States,<=50K
46,Private,1205563,Doctorate,16,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,37,United-States,<=50K
43,Private,326739,Some-college,10,Never-married,Adm-clerical,Husband,White,Male,0,0,50,United-States,<=50K
27,Private,997388,Some-college,10,Divorced,Protective-serv,Wife,White,Male,0,0,50,United-States,<=50K
39,Private,1187992,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,34,United-States,<=50K
31,Private,835735,Masters,14,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,24,United-States,<=50K
35,Private,860107,9th,5,Married-civ-spouse,Transport-moving,Own-child,Black,Male,0,0,26,United-States,<=50K
56,Self-emp-inc,258841,HS-grad,9,Married-civ-spouse,Tech-support,Not-in-family,White,Female,0,0,57,United-States,<=50K
53,Local-gov,1427244,Some-college,10,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,41,United-States,<=50K
52,Private,1426105,9th,5,Married-civ-spouse,Priv-house-serv,Wife,White,Female,0,0,19,United-States,<=50K
38,Self-emp-not-inc,1064363,Masters,14,Married-civ-spouse,Other-service,Husband,White,Female,0,0,50,United-States,<=50K
72,Private,1346637,11th,7,Married-civ-spouse,Sales,Own-child,White,Female,0,0,18,United-States,<=50K
22,Private,910085,Assoc-voc,11,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,30,South,<=50K
37,Private,989649,11th,7,Married-civ-spouse,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
24,Self-emp-inc,1237876,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,0,0,70,United-States,<=50K
37,State-gov,68652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,49,United-States,<=50K
72,Self-emp-not-inc,337001,12th,8,Divorced,Priv-house-serv,Not-in-family,Black,Female,0,0,34,United-States,<=50K
38,Local-gov,312939,Doctorate,16,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,40,United-States,<=50K
69,State-gov,947551,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,42883,1502,51,United-States,>50K
46,Private,370566,Some-college,10,Divorced,Prof-specialty,Husband,White,Male,0,0,57,United-States,<=50K
57,Private,589346,Some-college,10,Never-married,Farming-fishing,Other-relative,Black,Male,0,0,37,United-States,<=50K
44,Private,742135,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,37,United-States,<=50K
33,State-gov,1111693,Some-college,10,Divorced,Priv-house-serv,Husband,White,Male,0,0,30,United-States,<=50K
61,Private,777090,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,47,United-States,<=50K
73,Private,48453,HS-grad,9,Divorced,Transport-moving,Husband,White,Female,0,0,52,United-States,<=50K
33,Local-gov,1027294,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,16,United-States,<=50K
62,Private,644492,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,35,United-States,<=50K
32,Self-emp-inc,179889,Masters,14,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,25,United-States,>50K
58,Private,975575,Some-college,10,Never-married,Craft-repair,Wife,White,Male,0,0,41,United-States,<=50K
62,State-gov,411700,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Female,0,0,25,United-States,<=50K
43,Local-gov,693162,10th,6,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,0,1080,24,United-States,<=50K
60,Private,1442352,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,53,United-States,<=50K
33,Self-emp-inc,364034,Some-college,10,Married-civ-spouse,Protective-serv,Wife,White,Male,0,0,38,United-States,<=50K
22,Private,1320786,Some-college,10,Divorced,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,39,United-States,<=50K
23,Private,698646,Prof-school,15,Never-married,Protective-serv,Husband,White,Male,0,0,45,United-States,>50K
43,Private,1390706,HS-grad,9,Never-married,Protective-serv,Unmarried,White,Male,0,0,51,United-States,<=50K
69,Federal-gov,1268305,Bachelors,13,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,34,United-States,<=50K
25,Private,1242454,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,35,Cuba,<=50K
43,Private,318016,HS-grad,9,Separated,Other-service,Husband,White,Male,0,0,35,United-States,<=50K
58,Self-emp-not-inc,1181294,Some-college,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,52,United-States,<=50K
29,Private,555007,Assoc-acdm,12,Married-civ-spouse,Other-service,Not-in-family,Black,Male,0,0,39,United-States,<=50K
59,Private,1357596,Bachelors,13,Separated,Other-service,Wife,Other,Female,0,0,36,United-States,<=50K
35,Private,1476114,Some-college,10,Married-civ-spouse,Priv-house-serv,Own-child,White,Male,0,0,44,United-States,<=50K
64,Private,916578,Masters,14,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,61,United-States,<=50K
51,Local-gov,1361533,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,United-States,<=50K
49,Private,800601,Assoc-acdm,12,Never-married,Handlers-cleaners,Other-relative,White,Female,0,837,36,United-States,<=50K
28,Private,62494,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,63,United-States,<=50K
44,State-gov,1304133,Some-college,10,Never-married,Tech-support,Husband,Black,Female,0,0,55,United-States,<=50K
66,Private,796176,10th,6,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,0,0,54,United-States,<=50K
19,Self-emp-not-inc,77366,Some-college,10,Married-civ-spouse,Other-service,Own-child,Black,Male,0,0,33,United-States,<=50K
61,Private,108972,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,32,United-States,<=50K
46,Local-gov,1081323,10th,6,Never-married,Other-service,Unmarried,White,Male,0,0,17,United-States,<=50K
59,Self-emp-not-inc,1377922,7th-8th,4,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,51,United-States,<=50K
55,Local-gov,1043097,Assoc-voc,11,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
42,Private,664939,Bachelors,13,Married-civ-spouse,Protective-serv,Own-child,White,Male,0,0,18,United-States,<=50K
35,Private,466052,Bachelors,13,Married-civ-spouse,Tech-support,Unmarried,White,Male,0,0,54,United-States,>50K
